CollegeName,CollegeCode,CourseCode,Category,CutoffRank,Location,Year,Round
S K S J T Institute of Engineering.  Bangalore,E002,CS Computers,GMK,12468,Bangalore,2023,Round 1
S K S J T Institute of Engineering.  Bangalore,E002,CS Computers,GMR,12912,Bangalore,2023,Round 1
S K S J T Institute of Engineering.  Bangalore,E002,CS Computers,SCG,29566,Bangalore,2023,Round 1
S K S J T Institute of Engineering.  Bangalore,E002,CS Computers,SCK,36626,Bangalore,2023,Round 1
S K S J T Institute of Engineering.  Bangalore,E002,CS Computers,SCR,38255,Bangalore,2023,Round 1
S K S J T Institute of Engineering.  Bangalore,E002,CS Computers,STG,26429,Bangalore,2023,Round 1
S K S J T Institute of Engineering.  Bangalore,E002,CS Computers,STR,36547,Bangalore,2023,Round 1
S K S J T Institute of Engineering.  Bangalore,E002,EC Electronics,1G,34683,Bangalore,2023,Round 1
S K S J T Institute of Engineering.  Bangalore,E002,EC Electronics,1R,38914,Bangalore,2023,Round 1
S K S J T Institute of Engineering.  Bangalore,E002,EC Electronics,2AG,28615,Bangalore,2023,Round 1
S K S J T Institute of Engineering.  Bangalore,E002,EC Electronics,2AK,36985,Bangalore,2023,Round 1
S K S J T Institute of Engineering.  Bangalore,E002,EC Electronics,2AR,30430,Bangalore,2023,Round 1
S K S J T Institute of Engineering.  Bangalore,E002,EC Electronics,2BG,37556,Bangalore,2023,Round 1
S K S J T Institute of Engineering.  Bangalore,E002,EC Electronics,3AG,26021,Bangalore,2023,Round 1
S K S J T Institute of Engineering.  Bangalore,E002,EC Electronics,3AR,32410,Bangalore,2023,Round 1
S K S J T Institute of Engineering.  Bangalore,E002,EC Electronics,3BG,25329,Bangalore,2023,Round 1
S K S J T Institute of Engineering.  Bangalore,E002,EC Electronics,GM,24842,Bangalore,2023,Round 1
S K S J T Institute of Engineering.  Bangalore,E002,EC Electronics,GMK,28303,Bangalore,2023,Round 1
S K S J T Institute of Engineering.  Bangalore,E002,EC Electronics,GMR,29803,Bangalore,2023,Round 1
S K S J T Institute of Engineering.  Bangalore,E002,EC Electronics,SCG,57612,Bangalore,2023,Round 1
S K S J T Institute of Engineering.  Bangalore,E002,EC Electronics,SCK,58040,Bangalore,2023,Round 1
S K S J T Institute of Engineering.  Bangalore,E002,EC Electronics,SCR,58499,Bangalore,2023,Round 1
S K S J T Institute of Engineering.  Bangalore,E002,EC Electronics,STG,81627,Bangalore,2023,Round 1
S K S J T Institute of Engineering.  Bangalore,E002,ST Silk Tech.,1G,164052,Bangalore,2023,Round 1
S K S J T Institute of Engineering.  Bangalore,E002,ST Silk Tech.,2AG,142074,Bangalore,2023,Round 1
S K S J T Institute of Engineering.  Bangalore,E002,ST Silk Tech.,2AR,170902,Bangalore,2023,Round 1
S K S J T Institute of Engineering.  Bangalore,E002,ST Silk Tech.,2BG,145685,Bangalore,2023,Round 1
S K S J T Institute of Engineering.  Bangalore,E002,ST Silk Tech.,GM,123325,Bangalore,2023,Round 1
S K S J T Institute of Engineering.  Bangalore,E002,ST Silk Tech.,GMK,157732,Bangalore,2023,Round 1
S K S J T Institute of Engineering.  Bangalore,E002,ST Silk Tech.,GMR,128490,Bangalore,2023,Round 1
S K S J T Institute of Engineering.  Bangalore,E002,ST Silk Tech.,SCG,149441,Bangalore,2023,Round 1
S K S J T Institute of Engineering.  Bangalore,E002,ST Silk Tech.,SCR,180147,Bangalore,2023,Round 1
S K S J T Institute of Engineering.  Bangalore,E002,ST Silk Tech.,STG,169092,Bangalore,2023,Round 1
S K S J T Institute of Engineering.  Bangalore,E002,TX Textiles,1G,170394,Bangalore,2023,Round 1
S K S J T Institute of Engineering.  Bangalore,E002,TX Textiles,2AG,176121,Bangalore,2023,Round 1
S K S J T Institute of Engineering.  Bangalore,E002,TX Textiles,2BG,164403,Bangalore,2023,Round 1
S K S J T Institute of Engineering.  Bangalore,E002,TX Textiles,3AG,164394,Bangalore,2023,Round 1
S K S J T Institute of Engineering.  Bangalore,E002,TX Textiles,3AK,192913,Bangalore,2023,Round 1
S K S J T Institute of Engineering.  Bangalore,E002,TX Textiles,3BG,173683,Bangalore,2023,Round 1
